#PI: Shappee 
#OBJECT: ASASSN-14lp 
#JD: 2457012.04051 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
3460.9 1.0825094e-13 
3462.4 1.1135773e-13 
3463.8 1.0973579e-13 
3465.3 1.0829696e-13 
3466.8 1.0902089e-13 
3468.2 1.0729588e-13 
3469.7 1.047633e-13 
3471.2 1.0345557e-13 
3472.6 1.0227373e-13 
3474.1 1.0296153e-13 
3475.6 1.0539279e-13 
3477.0 1.0203578e-13 
3478.5 1.0383721e-13 
3479.9 1.0416808e-13 
3481.4 1.0160758e-13 
3482.9 1.0267853e-13 
3484.3 1.0357086e-13 
3485.8 1.045567e-13 
3487.3 1.0187688e-13 
3488.7 1.0285045e-13 
3490.2 1.0351123e-13 
3491.7 1.0404268e-13 
3493.1 1.0468606e-13 
3494.6 1.0443196e-13 
3496.0 1.0475534e-13 
3497.5 1.0492001e-13 
3499.0 1.0432978e-13 
3500.4 1.0400425e-13 
3501.9 1.0427336e-13 
3503.4 1.0636216e-13 
3504.8 1.034394e-13 
3506.3 9.8975944e-14 
3507.8 1.0665888e-13 
3509.2 9.9383074e-14 
3510.7 1.0014617e-13 
3512.1 9.8105514e-14 
3513.6 1.013487e-13 
3515.1 9.9063081e-14 
3516.5 1.0015049e-13 
3518.0 1.0090627e-13 
3519.5 9.843362e-14 
3520.9 1.007764e-13 
3522.4 1.0132066e-13 
3523.8 9.9682424e-14 
3525.3 1.0519825e-13 
3526.8 1.0351593e-13 
3528.2 9.9519346e-14 
3529.7 1.0099048e-13 
3531.2 1.0034171e-13 
3532.6 1.0285491e-13 
3534.1 1.0309005e-13 
3535.6 9.7907871e-14 
3537.0 1.0085754e-13 
3538.5 9.9637183e-14 
3539.9 1.0390224e-13 
3541.4 1.0387924e-13 
3542.9 1.02961e-13 
3544.3 1.0249105e-13 
3545.8 1.0295445e-13 
3547.3 1.0382497e-13 
3548.7 1.0677584e-13 
3550.2 1.0162119e-13 
3551.7 1.0240314e-13 
3553.1 1.0169795e-13 
3554.6 1.0636224e-13 
3556.0 1.0503666e-13 
3557.5 1.0548183e-13 
3559.0 1.0968652e-13 
3560.4 1.0881127e-13 
3561.9 1.0143863e-13 
3563.4 1.0557832e-13 
3564.8 1.0421288e-13 
3566.3 1.0577959e-13 
3567.8 1.0279654e-13 
3569.2 1.0541552e-13 
3570.7 1.0807542e-13 
3572.1 1.0339529e-13 
3573.6 1.0324238e-13 
3575.1 1.0438373e-13 
3576.5 1.0767233e-13 
3578.0 1.0445895e-13 
3579.5 1.049211e-13 
3580.9 1.0586832e-13 
3582.4 1.0249167e-13 
3583.9 9.9513321e-14 
3585.3 1.0435371e-13 
3586.8 9.9539648e-14 
3588.2 1.0047607e-13 
3589.7 1.0022323e-13 
3591.2 9.973566e-14 
3592.6 1.0397316e-13 
3594.1 1.0157135e-13 
3595.6 1.0282925e-13 
3597.0 1.0275237e-13 
3598.5 1.0217471e-13 
3600.0 1.0177298e-13 
3601.4 1.0168913e-13 
3602.9 1.023638e-13 
