,NameList,8_4,12_2,12_3,12_4,14_1,14_2,14_3,16_2,18_2,20_1,20_2,20_3,20_4,21_4,22_1,22_2,22_3,22_4,23_1,23_2,25_1,25_2,26_1,26_2,26_3,26_4,27_1,27_2,27_3,27_4,28_1,28_2,28_3,28_4
0,SN2011fe_0.4d,0.026885176987336397,0.02086151351858318,0.0035536743857105826,0.0005800274186166953,0.008736454463301372,0.05357875717253729,0.005063787131954907,0.007651252533327461,0.0022709782438580617,0.0016962361243793326,0.013032103316448853,0.000652619234759522,3.502712030608544e-05,1.1098219591847674e-08,4.3047434748985696e-05,2.9966133229699914e-05,5.97308365918943e-06,6.941709374088859e-07,3.040219344987888e-05,0.0001511773698000492,0.0071070895767029255,0.00010902002014333621,0.012458842608796887,0.003960925142874358,0.0007066625516259886,1.623190944890459e-05,0.03583928003534141,0.013172716482522984,0.00206262476985832,4.621459565089173e-06,0.02398228361820869,0.0009514214044329347,0.0002980851754032963,4.216953113876062e-06
1,SN2011fe_-2.6d,0.03824423065250649,0.015065020872647446,0.0035566411130599856,0.0005703310351827581,0.005576801874695942,0.056501514261124534,0.0060637555004281855,0.0065908655120764026,0.01110390724050559,0.0023805510465798345,0.010247412406319177,0.0006526916549748705,3.7300565181167646e-05,1.1093903530817362e-08,4.337373671171827e-05,2.9805087270200503e-05,4.954376900964385e-06,4.2192176744591956e-07,0.0002703492189201277,0.0001235791202293224,0.007508874457287502,0.00010902002014333621,0.01473596903582635,0.003056968675750012,0.0005742014213026467,2.2497411923777418e-05,0.032076420625919734,0.013149302215545888,0.0017574743157760199,2.0266811980558944e-05,0.012267521978526541,0.0008454385575628608,0.000512291808804827,4.729639164255478e-06
2,SN2011fe_3.7d,0.011615755866520113,0.014780561535064997,0.0008101359168888508,0.0005863621134993045,0.00883478976239272,0.02932795667858828,0.0030272932390935496,0.005217347157796541,0.005024599913343485,0.004108411747580665,0.013157372679594857,0.0006507086876442059,1.4814926439420478e-05,1.1025356780460481e-08,4.35117964247458e-05,3.0399621579607163e-05,5.967620502102869e-06,7.408609943014473e-07,3.36120148869584e-05,0.0001676255990390227,0.007687507442939907,0.00010960780172078708,0.011415407469284615,0.005511300411140103,0.000327666894672516,1.3156372079633208e-05,0.03198395929788371,0.012885840848561973,0.0020292168369491458,2.335199672476371e-06,0.05608462427686575,0.0007037584429605884,0.00011457839288256487,4.135146321329344e-06
3,SN2013dy_-3.1d,0.04055401609910243,0.021739870520612797,0.003773409970810144,0.0005703677153852028,0.002286251639867093,0.024494881007247872,0.004934083369015132,0.01027129737665985,0.0022870635909822013,0.0008808998990081431,0.001614151042421297,0.0006526094631272104,3.790044329687422e-05,1.1101177252745623e-08,4.2949955788590626e-05,2.885966362662958e-05,3.3728944695644147e-07,6.013339308399813e-07,0.0002568323414517424,1.3226662060654838e-05,0.004174976930108755,0.00011368789603220484,0.014662997300501916,0.003950712369788658,0.0002587688837437,0.00021711316817513742,0.039243998707914944,0.013189277173281552,0.002123250095752498,3.774900745324583e-05,0.026785328672727187,0.012990585623925603,0.0019170362713093285,9.282768749099067e-05
4,SN2013dy_-1.1d,0.04057979999481475,0.028052089730585705,0.0037819044580676493,0.0005800274186166953,0.0012859554550308531,0.0325154123703571,0.004585777392606581,0.007528514266517403,0.002994698797602756,0.0007576454796463102,0.0019415980863922856,0.0006526962071960566,3.788296476962833e-05,1.1101177252745623e-08,4.283919558548073e-05,2.8730406866967273e-05,4.7541083293912533e-07,6.10883515222501e-07,0.0002615689264590381,3.4546163514984014e-05,0.00330580263901468,0.00011051743794618955,0.012462197465257006,0.0029561563182114265,0.00028242540837486116,0.00018693857270137189,0.04375435208879055,0.01312153828647856,0.002122504739082217,3.638471007041916e-05,0.030296455128689417,0.013150236532843043,0.0015037707606105003,2.3631739121184996e-05
5,SN2013dy_0.9d,0.04055473316395792,0.03723820549201478,0.003772096648150948,0.0005917965719563902,0.0006501689573677083,0.0400148205834985,0.004076881623625923,0.0072776624200366884,0.002976607313559176,0.0006078169322020252,0.008383265683125396,0.0006521897922261804,3.727223759894044e-05,1.03389912660835e-08,4.2980143451393625e-05,2.9199360630474698e-05,1.2196603853589223e-06,5.992240784501934e-07,2.1412874767342812e-05,0.0001506302112201195,0.006904008559511389,0.00010956350867754183,0.012060761147463675,0.0032917836124427636,0.00033505562986248575,0.00012714054862854253,0.04375435208879055,0.01289198172591725,0.0021291072756456524,2.1550688139268927e-05,0.03380743532581937,0.012957055318050885,0.000516654366326165,1.0655848153346504e-05
6,SN2013dy_3.9d,0.036417565319400554,0.03263303977434496,0.003654907636090173,0.0005944379431864371,0.0005302688618137375,0.03420349587216221,0.003763503889809971,0.005645580894120582,0.003974154171128598,0.0005873822160356983,0.013155181080633474,0.0006521897922261804,2.357464484781806e-05,1.1078619631939883e-08,4.287582262057221e-05,2.8428570030271974e-05,5.6049339387210906e-06,7.182187146365207e-07,1.8495109936284023e-05,0.00016762884723596903,0.00718084899597137,0.00010960780172078708,0.011332551759179106,0.005201076147948637,0.0003415902988964043,2.6673195257387428e-05,0.04310134024021582,0.013287288867861288,0.0021219555678976603,2.786078834554776e-06,0.03488944550103041,0.00278839662294281,0.00011572868407182566,4.6506449668972415e-06
7,SN2011iv_0.6d,0.02131800303202008,0.024986923953487446,0.0037383190337145515,0.000635923671008473,0.00871072348031213,0.0699921226299333,0.005578942023552825,0.005703639407933077,0.011041698763843186,0.0005033640361831893,0.012987891646633196,0.0006526962071960566,3.398166681467293e-06,1.1045617097575125e-08,4.362645581989395e-05,3.0325853356587435e-05,6.188680789004325e-06,7.955066420558868e-07,9.410760145878216e-05,0.0001705058247585394,0.007693184057932851,0.00012815346773089882,0.012462197465257006,0.01141675856869376,0.00029882338572112646,1.1568006642736805e-05,0.04828896492808228,0.013285363690683831,0.000803848946911487,2.0445923233641086e-06,0.010161134210838736,0.0007206062383246937,0.00011050445575287676,4.3780842206518075e-06
8,SN2015F_-2.3d,0.0053894407951295496,0.01220578449541927,0.00301532021996412,0.000606548600435763,0.008315648225338392,0.07179488803520231,0.005298420721187495,0.006230923979661398,0.011112397717242352,0.0006469122647204879,0.011894460803615305,0.0006507920623856387,3.6293479584880055e-05,1.1044901292895485e-08,4.366335893015502e-05,3.0449241006834297e-05,5.931812374006134e-06,4.4123374023036295e-07,6.845198608516887e-05,0.00015597217150177176,0.0076657145682181745,0.00010902002014333621,0.011829359248658747,0.006465375138112304,0.000867630081520259,2.6780100757527922e-05,0.03568192329498632,0.011480638941442458,0.0010410714590080386,7.828334016220682e-06,0.015123886683202473,0.0015110484888231426,0.0001560971369250608,4.3418102778997535e-06
9,ASASSN-14lp_-4.4d,0.04065361867633237,0.00908526052613489,0.0037453514546931595,0.0005707306663696845,0.0007707406860537202,0.012694698189120677,0.006164160395764166,0.006550076120655292,0.009257279274606288,0.0008816583183597987,0.000630445956457343,0.0006421314705342391,3.767996649849487e-05,8.051442190707146e-09,4.337778145835327e-05,2.9548296883370754e-05,6.308575122166484e-07,7.015998929855739e-07,0.00029909764979478375,1.8198206012733715e-05,0.0009264024762041241,0.0005469339342227194,0.011731296612041482,0.011878327966905362,0.00026343152907785667,0.00023690312229802105,0.06366697247053903,0.012754939398036843,0.00011615009100144643,3.7751744117163935e-05,0.0425951552095283,0.0133944529897324,0.002177480668569553,0.00010090101750512421
