Name,IAU Name,Redshift,Na Line,Phase
PTF09dlc,,0.068,MW,2.8
PTF09dnl,SN2009jb,0.019,MW Small,1.3
PTF09fox,,0.0718,No,2.6
PTF09foz,,0.05,No,2.8
PTF10bjs,,0.0296,No,1.9
PTF10hdv,,0.054,No,3.3
PTF10hmv,SN2010dm,0.032,HV,2.5
PTF10icb,,0.0086,Host MW,0.8
PTF10mwb,SN2010gn,0.03,No,−0.4
PTF10pdf,,0.0757,Host,2.2
PTF10qjq,,0.0289,No,3.5
PTF10tce,,0.041,No,3.5
PTF10ufj,SN2010hs,0.07,MW HV,2.7
PTF10xyt,,0.049,Host,3.2
SN2009le,,0.017786,Host MW,0.3
